Datatype: kernel_timings_GPU_n10
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
360	6	16	52	36	12	275	2	12	13	1
11	5	13	57	11	10	286	1	12	12	1
11	4	13	56	12	10	275	1	12	12	1
11	4	13	54	12	11	264	1	12	12	1
11	4	26	68	12	11	296	1	12	12	1
11	5	13	54	12	11	263	1	12	12	1
11	4	13	53	22	15	304	1	12	25	1
11	4	13	58	12	11	263	1	12	12	1
11	4	13	53	12	11	295	1	12	12	1
11	4	26	49	12	11	265	1	12	12	1
16	5	14	50	12	24	263	1	12	12	1
11	5	13	50	12	11	276	2	12	11	1
22	5	14	52	12	12	293	1	10	11	1
10	4	13	54	12	11	267	1	12	12	1
11	4	12	79	13	11	302	1	11	12	1
11	4	12	55	12	11	267	1	12	12	1
11	4	13	52	12	11	287	1	12	21	1
11	4	13	49	11	10	269	1	11	12	1
11	4	13	54	11	11	266	1	12	12	1
11	4	13	56	12	11	263	1	12	12	1
16	5	14	54	12	12	290	1	11	11	1
10	5	13	54	12	11	276	1	12	12	1
11	5	13	69	12	11	295	1	11	12	1
11	4	13	50	12	11	262	1	12	12	1
11	4	13	53	12	12	281	1	10	11	14
12	4	13	57	12	11	267	1	12	11	1
10	4	13	56	12	11	280	1	12	12	1
11	4	12	61	12	11	266	1	12	12	1
11	4	13	48	12	11	267	2	13	13	1
11	4	13	57	10	10	276	1	12	12	1
16	5	14	67	12	11	281	2	12	12	1
11	4	14	56	12	11	262	1	11	12	1
11	5	13	56	12	11	285	1	12	12	1
11	5	20	55	12	11	262	1	12	12	1
11	7	13	54	12	11	280	1	12	12	1
11	5	13	51	12	11	276	1	12	12	1
11	4	13	49	12	11	266	1	11	14	1
25	4	13	54	13	11	278	1	11	12	1
11	4	12	57	12	11	267	1	12	12	1
11	4	13	49	26	12	280	2	12	12	1
15	5	14	54	12	11	304	2	12	13	1
11	5	27	65	12	11	278	1	12	12	1
11	4	13	59	12	11	299	2	12	12	1
11	5	14	67	12	11	277	1	12	12	1
11	5	13	56	11	12	276	1	12	12	1
11	4	13	57	12	11	277	1	12	12	1
11	4	13	47	12	11	261	1	12	12	1
11	5	13	68	12	11	284	1	12	12	1
11	4	13	49	12	11	263	1	12	12	1
11	4	13	54	12	11	288	1	11	11	1
14	5	12	56	12	11	272	1	12	12	1
11	5	13	51	12	11	268	1	12	12	1
11	4	13	54	11	10	266	1	12	14	1
12	5	13	50	12	11	277	1	11	12	1
11	5	13	56	19	11	262	1	12	12	1
11	4	13	50	27	13	281	2	12	12	1
11	4	13	54	12	11	263	1	11	12	1
11	4	13	50	12	11	280	1	12	12	1
11	4	13	63	12	14	261	1	11	12	1
11	4	13	49	20	11	266	1	10	12	1
14	5	12	54	19	11	267	1	12	12	1
11	17	17	64	12	11	301	1	12	12	1
11	4	12	50	12	11	266	1	12	12	1
11	5	13	55	10	14	289	1	24	12	1
11	5	13	51	18	10	267	1	12	12	1
11	5	13	57	12	11	298	2	12	12	1
11	5	21	66	20	11	263	1	12	12	1
11	4	13	54	19	11	282	1	12	12	1
11	4	14	57	26	11	262	1	11	12	1
11	4	13	55	12	11	262	1	12	26	1
16	5	13	54	20	11	262	1	11	12	1
11	4	13	69	21	11	283	1	12	12	1
11	4	13	56	19	11	262	1	11	12	1
11	5	13	52	12	11	288	1	11	11	1
10	4	14	53	19	11	268	1	11	12	1
10	5	12	53	20	11	268	1	12	12	1
11	5	13	49	19	11	267	1	12	12	1
11	4	13	54	11	10	266	1	12	24	1
12	5	13	52	19	10	277	1	11	12	1
11	4	13	49	20	11	263	1	11	12	1
16	5	13	56	20	11	261	1	11	12	1
11	4	13	57	12	11	281	1	12	12	1
11	4	13	51	20	11	265	1	12	12	1
11	4	14	51	12	12	263	1	12	12	1
11	4	13	54	19	11	266	1	11	11	1
11	5	13	59	20	11	266	1	12	12	1
24	5	13	56	19	11	284	1	12	12	1
10	4	12	57	12	11	266	1	12	12	1
11	5	13	48	21	11	285	1	12	12	1
11	4	13	47	12	11	264	1	11	12	1
