Datatype: kernel_timings_GPU_n21
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
1176	6	17	65	29	14	349	2	15	15	1
12	5	14	59	13	12	331	2	15	15	1
13	5	29	57	14	12	307	2	15	14	1
12	5	15	84	14	11	339	2	15	15	1
12	5	15	56	13	12	323	2	14	14	1
12	5	16	69	13	12	306	2	15	14	1
12	5	15	56	13	11	327	2	15	14	1
12	5	28	56	12	10	312	2	15	14	1
12	5	15	72	14	12	331	2	15	14	1
12	5	15	55	13	12	324	2	15	14	1
17	5	15	58	13	12	327	2	15	14	1
12	5	15	56	25	12	311	1	15	14	1
12	5	15	58	13	12	330	2	15	25	1
11	5	15	56	14	11	307	2	15	14	1
12	5	15	58	13	12	312	2	14	15	1
12	5	15	55	13	12	321	2	15	14	1
12	5	15	58	24	12	311	2	15	14	1
11	5	14	57	13	12	327	2	15	15	1
25	5	16	57	13	12	308	2	15	14	1
12	5	15	59	13	12	318	2	15	14	1
17	19	16	73	14	12	323	2	15	14	1
12	5	15	56	13	13	350	2	15	15	1
25	5	15	56	13	12	311	2	15	14	1
12	5	15	57	14	12	322	2	15	14	1
12	5	15	56	13	12	313	2	15	15	1
12	5	15	56	13	11	305	2	15	15	1
12	5	15	56	12	11	312	2	15	14	1
12	5	15	58	13	12	311	2	15	13	1
11	5	15	58	13	12	322	2	16	14	1
12	5	15	56	13	12	321	2	15	14	1
18	5	15	57	13	11	317	2	15	14	1
11	5	14	58	13	12	307	2	15	14	1
12	5	15	55	13	26	316	2	15	14	1
12	5	15	56	13	12	307	2	15	14	1
12	5	26	56	14	12	327	2	15	14	1
12	5	14	55	13	12	308	2	15	15	1
12	5	15	56	13	12	308	1	15	15	1
11	5	15	57	13	12	311	1	15	14	1
12	5	15	56	12	11	328	2	15	14	1
12	5	23	62	13	12	339	1	15	14	1
17	5	16	54	13	12	307	2	15	14	1
12	5	15	56	12	11	313	2	15	14	1
12	5	15	56	13	12	312	2	15	13	1
11	5	15	58	13	12	320	2	15	14	1
12	5	15	56	13	12	324	2	15	14	1
12	5	15	58	13	11	322	2	15	15	1
12	5	15	56	13	12	312	2	15	15	1
11	5	15	59	13	12	307	2	15	14	1
12	5	15	57	13	11	305	2	15	14	1
12	5	15	56	13	12	305	2	15	14	1
18	5	16	55	13	12	311	2	14	13	1
12	5	15	57	13	12	306	2	15	14	1
12	5	15	56	13	12	311	2	15	14	1
12	5	15	56	13	12	306	2	14	14	1
12	5	15	61	13	12	324	2	14	14	1
12	5	14	56	13	12	324	2	15	14	1
12	5	15	58	14	22	307	1	15	15	1
12	5	15	56	13	11	333	2	15	15	1
12	5	15	58	13	12	336	2	15	13	1
11	5	15	61	25	12	324	2	15	14	1
18	5	16	55	22	12	310	2	15	14	1
11	5	15	56	13	12	326	2	13	13	1
23	5	15	55	13	11	308	2	15	14	1
12	5	15	57	13	12	306	2	15	14	1
12	5	15	56	13	12	308	15	16	14	1
12	5	15	56	13	24	311	2	15	14	1
11	5	15	56	21	11	329	2	15	14	1
12	5	21	58	13	12	307	1	15	15	1
12	5	15	67	12	10	319	2	15	15	1
12	5	15	56	13	12	336	2	15	13	1
18	5	15	60	13	12	328	2	15	14	1
12	5	16	57	20	11	310	2	15	14	1
12	5	15	56	13	12	311	2	15	14	1
11	5	15	56	13	12	304	2	15	14	1
14	5	15	57	13	12	304	2	15	14	1
12	5	15	56	21	12	326	2	15	14	1
12	5	15	57	13	11	307	2	15	14	1
12	5	14	58	13	25	325	2	15	15	1
12	5	15	55	13	12	306	2	15	15	1
12	5	15	58	21	12	304	2	15	15	1
18	5	16	56	13	25	310	2	15	13	1
11	5	15	57	13	12	325	2	15	14	1
12	5	21	55	21	11	306	1	15	14	1
12	5	15	58	13	11	311	1	15	14	1
12	5	15	57	13	12	311	2	15	15	1
12	5	14	57	21	12	309	2	15	14	1
12	5	15	56	13	12	342	2	15	14	1
13	5	24	57	14	12	307	2	15	14	1
12	5	15	75	22	12	335	2	14	13	1
12	5	15	59	13	12	308	2	15	15	1
17	5	15	55	13	12	327	2	15	15	1
12	5	15	57	21	12	311	2	15	14	1
12	5	15	58	13	12	335	2	15	14	1
12	5	15	56	21	12	307	2	15	14	1
12	5	15	60	13	12	307	2	15	14	1
12	5	15	56	20	12	312	1	15	14	1
12	5	15	58	13	12	308	2	15	13	1
11	5	15	56	21	12	326	2	15	27	1
12	5	15	56	13	12	304	2	15	14	1
12	5	15	59	20	10	323	2	14	14	1
18	5	14	58	14	12	316	2	15	14	1
12	5	15	55	21	11	335	2	15	15	1
12	5	15	57	14	11	306	2	15	14	1
12	5	15	70	21	12	333	2	14	13	1
12	5	15	56	13	11	324	2	15	14	1
12	5	15	69	22	12	304	2	15	14	1
12	5	15	56	12	10	306	2	15	14	1
12	5	15	59	21	12	311	2	15	14	1
11	5	15	77	13	12	316	2	15	14	1
12	5	15	57	21	12	304	3	16	15	1
16	5	14	56	13	11	301	2	13	13	1
11	5	14	69	20	11	279	2	14	13	1
11	5	13	55	13	12	305	2	14	13	1
10	5	26	55	20	10	294	2	13	13	1
11	5	14	70	12	10	303	2	15	14	1
10	5	14	55	20	11	284	2	15	14	1
12	5	26	59	13	12	323	1	13	13	1
11	5	15	56	21	12	308	2	15	14	1
12	5	15	56	13	12	306	2	15	14	1
12	5	15	56	21	12	343	1	15	14	1
18	5	14	54	13	12	306	2	15	14	1
12	5	15	56	21	11	310	2	15	14	1
12	5	15	55	13	12	304	1	15	14	1
12	5	15	57	20	12	330	2	15	15	1
12	5	15	57	13	11	309	2	14	14	1
12	5	15	73	21	12	319	2	15	14	1
12	5	15	57	19	12	306	2	20	14	1
12	5	15	56	20	12	309	1	15	14	1
12	5	15	57	20	12	309	2	14	13	1
12	5	15	56	21	12	303	1	15	14	1
17	5	15	68	20	11	328	2	15	26	1
17	5	15	56	21	12	321	2	15	14	1
12	5	15	57	21	11	308	2	15	15	1
11	5	15	55	21	12	304	2	15	14	1
12	5	15	65	25	13	352	2	15	14	1
12	5	13	58	21	12	304	2	27	15	1
12	5	15	57	24	12	313	2	15	14	1
12	5	15	55	21	12	320	2	15	14	1
12	5	15	63	21	12	308	1	15	14	1
12	5	13	61	23	12	312	2	15	14	1
33	7	18	62	23	13	321	2	17	16	1
12	5	16	56	31	12	319	1	15	15	1
12	5	14	61	21	12	319	2	15	14	1
12	5	15	59	21	12	315	1	15	14	1
12	5	15	61	21	12	314	1	15	15	1
12	5	15	55	21	12	319	1	15	14	1
12	5	14	66	21	12	312	1	15	14	1
12	5	16	60	21	12	317	2	15	14	1
12	5	16	68	21	13	314	1	15	14	1
12	5	15	56	21	12	318	1	15	14	1
17	5	16	61	21	12	318	1	14	13	1
