Datatype: kernel_timings_CPU_n46
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
493	677	2189	4588	484	694	3331	3910	3278	3795	0
533	755	1429	4028	499	723	3349	4018	3155	3730	0
548	711	1427	3863	486	747	3202	4022	3154	3911	0
543	736	1388	3898	475	708	3257	4040	3090	3778	0
508	736	1500	3947	491	714	3217	3982	3036	3759	0
530	715	1393	3876	472	748	3203	4042	3136	3606	0
507	680	1328	3741	463	687	3152	4038	2953	3588	0
496	682	1320	3648	459	688	3160	3805	2954	3586	0
497	683	1320	3710	458	689	3144	3838	2975	3609	0
493	686	1317	3658	462	684	3152	3803	3038	3572	0
501	678	1327	3686	463	683	3126	3818	2940	3604	0
525	718	1368	3689	458	696	3157	3802	2953	3575	0
501	682	1320	3700	459	694	3211	3827	2943	3576	0
506	683	1316	3671	458	691	3171	3830	2944	3579	0
494	685	1318	3720	462	681	3101	3906	2940	3576	0
518	685	1323	3660	463	683	3120	3811	2955	3592	0
502	679	1326	3664	463	683	3117	3821	2939	3574	0
502	678	1324	3650	463	685	3123	3804	2983	3574	0
522	677	1338	3697	458	692	3121	3822	2941	3574	0
501	683	1315	3748	457	694	3113	3804	2976	3582	0
497	682	1316	3673	459	691	3118	3824	2965	3580	0
496	682	1319	3663	458	690	3131	3802	3046	3704	0
496	682	1325	3665	463	694	3153	3820	2961	3613	0
513	686	1339	3842	458	693	3221	3911	2948	3675	0
505	699	1354	3787	465	683	3162	3823	2943	3577	0
502	678	1347	3661	463	682	3180	3804	2944	3573	0
503	679	1321	3665	464	685	3069	3818	2939	3566	0
502	678	1323	3694	462	687	3148	3816	2972	3567	0
503	682	1315	3675	459	696	3100	3818	2993	3576	0
500	682	1314	3678	458	693	3127	3803	2954	3601	0
497	684	1337	3686	459	699	3106	3820	2939	3576	0
496	684	1318	3693	458	739	3123	3811	2945	3587	0
497	684	1318	3693	463	685	3131	3825	2939	3586	0
509	749	1359	3664	462	683	3224	3814	2946	3587	0
500	678	1323	3670	462	687	3104	3839	2947	3631	0
503	683	1317	3668	458	691	3129	3804	2946	3574	0
496	685	1317	3681	459	693	3101	3824	2953	3606	0
496	691	1345	3782	458	688	3128	3873	2947	3601	0
494	683	1314	3740	462	688	3122	3832	2953	3581	0
503	678	1325	3665	463	683	3131	3818	2941	3586	0
502	678	1320	3670	464	686	3110	3837	2989	3582	0
503	680	1318	3668	458	695	3119	3814	2974	3613	0
500	683	1317	3670	458	693	3091	3820	2938	3707	0
496	682	1316	3666	459	689	3154	3807	2947	3578	0
504	703	1318	3686	458	686	3091	3822	2957	3573	0
496	684	1315	3664	459	685	3107	3804	2946	3596	0
496	685	1335	3709	462	682	3115	3907	2949	3679	0
502	677	1324	3654	462	690	3125	3814	2940	3580	0
503	682	1324	3690	459	696	3103	3835	3023	3591	0
504	691	1324	3659	458	692	3120	3805	2944	3581	0
542	680	1320	3643	461	690	3133	3857	2946	3601	0
515	695	1316	3691	458	690	3115	3800	2946	3577	0
496	684	1374	3675	458	688	3102	3837	2943	3592	0
496	684	1319	3683	463	682	3114	3818	2957	3581	0
497	682	1316	3670	463	683	3099	3818	2941	3582	0
503	679	1322	3654	461	688	3164	3816	2968	3607	0
519	706	1339	3658	462	686	3102	3872	2957	3630	0
501	683	1317	3666	458	694	3175	3810	2943	3596	0
505	684	1318	3695	460	692	11034	7395	7389	4922	0
1137	978	1347	3923	462	708	3166	3829	2958	3563	0
496	682	1312	3655	458	694	3080	3810	2984	3536	0
494	680	1358	3683	459	693	3058	3815	2940	3552	0
492	683	1331	3667	458	694	3023	3807	2924	3528	0
495	681	1312	3650	458	688	3051	3811	2927	3553	0
496	680	1309	3668	462	687	3038	3814	2921	3536	0
496	677	1321	3642	462	687	3115	3807	2923	3565	0
497	678	1317	3644	462	685	3047	3817	2919	3540	0
497	677	1322	3642	463	682	3114	3813	2925	3563	0
495	678	1354	3775	462	687	3033	3803	2922	3540	0
496	676	1318	3692	466	737	3195	3809	2973	3555	0
496	681	1311	3708	459	695	3048	3808	2924	3535	0
496	681	1312	3722	475	691	3049	3814	2930	3561	0
496	682	1311	3650	458	696	3017	3805	2921	3530	0
497	676	1321	3746	460	693	3035	3810	2947	3562	0
500	690	1324	3646	459	692	3042	3806	2920	3602	0
530	681	1336	3736	459	694	3053	3810	2923	3633	0
492	681	1329	3666	459	694	3027	3807	2922	3528	0
496	705	1416	3652	460	693	3038	3818	2924	3551	0
495	680	1310	3657	458	691	3049	3823	2930	3540	0
547	681	1315	3658	460	688	3034	3810	2977	3559	0
495	681	1315	3662	459	687	3038	3804	2999	3589	0
492	681	1314	3670	458	726	4147	3812	3730	3548	0
496	682	1320	3682	459	695	3050	3823	2962	3540	0
496	681	1316	3675	458	690	3049	3814	2922	3597	0
494	681	1316	3654	458	696	3108	3870	2946	3538	0
496	681	1314	3656	458	695	3116	3811	2920	3528	0
495	682	1312	3642	458	691	3061	3943	2924	3546	0
493	682	1366	3660	458	692	3030	3809	2924	3531	0
495	680	1328	3674	458	688	3046	3871	2924	3538	0
496	681	1314	3713	458	691	3037	3809	2925	3531	0
495	682	1315	3656	458	695	3092	3822	2933	3544	0
497	679	1313	3657	460	688	3025	3807	2918	3539	0
497	678	1319	3654	462	687	3058	3806	2926	3601	0
529	677	1318	3721	458	689	3036	3808	2917	3591	0
496	681	1313	3639	463	686	3023	3804	2923	3556	0
496	677	1336	3650	462	691	3027	3805	2921	3547	0
496	677	1319	3636	462	682	3030	3816	2922	3554	0
509	741	1527	3899	483	748	3197	3847	2925	3542	0
492	682	1314	3649	459	689	3024	3817	2924	3536	0
492	680	1316	3660	459	690	3029	3806	2922	3530	0
494	677	1315	3626	462	690	3039	3802	2922	3550	0
495	677	1318	3646	462	688	3022	3800	2924	3538	0
497	678	1345	3702	468	688	3029	3807	2924	3552	0
497	678	1321	3718	464	682	3031	3811	2919	3541	0
496	677	1319	3639	464	682	3021	3811	2923	3542	0
492	682	1313	3653	462	684	3027	3806	2922	3591	0
491	681	1316	3666	459	694	3029	3807	2923	3530	0
492	681	1330	3650	458	693	3028	3808	2922	3529	0
542	685	1313	3649	458	692	3019	3811	2922	3531	0
492	682	1315	3676	460	691	3021	3810	2921	3525	0
495	682	1315	3645	460	694	3020	3807	2922	3539	0
496	680	1313	3652	461	693	3032	3805	2920	3541	0
496	678	1315	3637	462	686	3017	3807	2971	3549	0
496	677	1318	3646	463	687	3023	3810	2919	3552	0
495	677	1319	3668	462	691	3030	3806	2921	3545	0
491	681	1311	3660	464	690	3104	3926	2919	3545	0
495	677	1329	3646	463	689	3015	3812	2966	3595	0
495	714	1322	3653	463	684	3027	3816	2921	3536	0
491	682	1309	3673	463	691	3032	3807	2922	3541	0
492	681	1318	3649	458	697	3019	3812	2921	3536	0
492	682	1315	3644	458	690	3024	3812	2922	3537	0
492	682	1331	3683	458	691	3028	3808	2920	3534	0
491	682	1314	3665	458	728	3021	3812	2924	3536	0
495	680	1315	3651	458	692	3027	3806	2921	3532	0
494	681	1314	3641	458	687	3031	3807	2919	3545	0
496	766	1335	3651	461	693	3025	3809	2922	3540	0
496	678	1334	3673	462	685	3019	3805	2998	3542	0
495	677	1321	3723	464	686	3028	3809	2923	3547	0
495	677	1321	3641	463	685	3025	3810	2920	3746	0
497	676	1463	3784	459	693	3035	3809	2924	3535	0
491	680	1313	3648	458	692	3030	3811	2929	3531	0
491	680	1314	3652	458	687	3101	3814	2920	3587	0
492	680	1312	3652	458	694	3012	3817	2922	3540	0
496	680	1319	3661	460	694	3019	3810	2918	3533	0
496	678	1320	3636	463	686	3026	3815	2921	3550	0
496	676	1321	3661	463	682	3032	3816	2922	3535	0
495	678	1320	3641	463	683	3021	3813	2923	3549	0
493	681	1315	3657	462	683	3023	3809	2918	3553	0
492	681	1333	3656	458	685	3023	3807	2922	3541	0
492	680	1317	3648	458	696	3036	3805	2921	3531	0
526	692	1317	3669	458	690	3035	3876	2966	3540	0
492	681	1319	3657	458	691	3096	3808	2920	3536	0
493	682	1353	3647	459	688	3037	3810	2922	3535	0
491	682	1313	3655	458	695	3020	3814	2922	3532	0
491	682	1313	3716	459	692	3029	3812	2925	3538	0
502	681	1324	3696	459	690	3022	3814	2923	3526	0
496	682	1312	3710	459	694	3023	3810	2925	3534	0
497	680	1312	3650	462	687	3049	3815	2919	3539	0
498	678	1320	3692	464	690	3037	3810	2922	3555	0
497	676	1329	3647	463	690	3037	3813	2922	3539	0
489	679	1315	3632	462	682	3035	3810	2977	3553	0
491	680	1316	3657	459	690	3029	3813	2920	3532	0
492	681	1312	3716	459	720	3093	3878	2991	3660	0
510	694	1336	3734	465	685	3103	3813	2935	3543	0
506	681	1349	3801	478	715	3131	3948	2958	3536	0
491	682	1315	3714	459	691	3115	3810	2922	3534	0
491	682	1312	3669	460	690	3035	3807	2923	3540	0
492	681	1314	3653	459	689	3025	3812	2921	3528	0
497	682	1315	3648	458	687	3023	3811	2919	3543	0
502	677	1327	3683	462	688	3029	3808	2919	3543	0
497	677	1318	3699	466	691	3019	3812	2923	3549	0
498	677	1320	3648	464	682	3042	3809	2932	3542	0
495	677	1321	3639	463	690	3026	3823	2924	3614	0
497	676	1349	3731	465	694	3037	3803	2922	3541	0
498	677	1335	3701	499	692	3043	3813	2923	3554	0
498	709	1324	3662	464	683	3025	3812	2921	3537	0
496	677	1319	3656	463	683	3023	3813	2922	3547	0
492	681	1312	3645	464	682	3027	3814	2922	3542	0
491	682	1314	3647	463	683	3022	3813	2926	3562	0
492	680	1319	3653	459	696	3013	3822	2972	3533	0
492	681	1317	3647	459	689	3031	3811	2926	3594	0
506	683	1315	3683	459	689	3032	3816	2922	3528	0
491	682	1314	3657	459	692	3021	3944	3034	3664	0
492	698	1336	3693	464	681	3051	3815	2924	3542	0
492	682	1313	3720	464	694	3025	3883	2927	3560	0
492	681	1317	3690	464	682	3033	3807	3000	3542	0
502	677	1317	3644	464	682	3059	3812	2928	3548	0
492	682	1313	3654	462	682	3030	3812	2924	3533	0
491	682	1337	3674	458	686	3035	3809	2926	3588	0
492	681	1317	3659	459	721	3034	3812	2925	3533	0
492	682	1314	3647	458	690	3028	3943	2933	3542	0
492	680	1341	3652	458	698	3025	3898	2928	3539	0
490	718	1317	3652	460	694	3024	3811	2925	3534	0
492	682	1318	3678	458	689	3027	3812	2921	3532	0
492	682	1370	3651	458	691	3021	3814	2926	3537	0
491	681	1315	3668	463	693	3029	3813	2921	3530	0
496	682	1316	3648	458	694	3024	3810	2925	3533	0
502	680	1320	3654	459	695	3035	3852	2933	3536	0
497	681	1347	3745	458	695	3028	3810	2923	3593	0
497	680	1315	3654	459	693	3033	3813	2924	3538	0
498	680	1321	3638	463	687	3011	3811	2925	3548	0
496	678	1322	3642	464	682	3047	3812	2920	3544	0
495	677	1323	3643	463	682	3040	3806	2953	3554	0
495	677	1325	3652	463	690	3042	3815	2922	3541	0
491	681	1314	3647	463	687	3032	3809	2926	3546	0
491	681	1334	3696	464	682	3038	3811	2922	3538	0
492	682	1318	3648	458	689	3032	3810	2922	3540	0
491	687	1332	3681	458	689	3043	3815	2924	3530	0
493	684	1313	3645	458	689	3100	3813	2924	3540	0
