Datatype: kernel_timings_CPU_n10
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
6	8	62	377	30	32	300	26	47	45	0
6	7	71	348	8	28	310	25	26	40	0
5	7	57	338	8	28	259	23	44	39	0
5	7	57	344	8	28	255	22	24	36	0
5	6	54	370	8	41	266	23	36	37	0
5	6	54	350	9	30	273	23	24	36	0
18	7	55	351	9	30	279	22	24	37	0
5	6	54	337	8	29	283	25	26	39	0
5	7	54	324	8	28	254	35	26	39	0
5	7	57	344	8	28	258	22	24	36	0
5	6	73	350	8	28	262	23	24	37	0
5	6	54	354	9	30	263	22	24	36	0
5	6	54	343	9	30	277	22	24	37	0
5	6	54	324	8	28	284	23	25	38	0
5	19	54	324	8	28	262	22	28	37	0
5	6	54	324	8	28	252	22	24	36	0
5	6	54	327	8	28	244	22	24	37	0
5	9	58	329	8	28	261	22	24	37	0
5	6	54	324	8	28	262	23	24	37	0
5	6	54	324	8	28	255	22	24	36	0
5	6	54	324	8	28	259	23	24	37	0
5	6	54	328	8	28	256	22	24	36	0
5	6	54	326	8	28	253	22	24	36	0
5	6	54	324	8	28	249	22	24	36	0
5	6	54	324	8	28	253	22	24	37	0
5	6	57	324	8	28	245	22	24	36	0
5	6	54	328	8	28	257	22	24	36	0
5	6	54	324	8	28	245	23	24	36	0
5	6	54	324	8	28	255	22	27	37	0
5	6	54	324	8	28	251	23	24	36	0
5	6	54	328	8	28	257	22	24	37	0
5	6	54	328	8	28	253	23	24	36	0
5	6	54	324	8	28	263	22	24	37	0
5	6	54	324	8	28	258	23	24	40	0
5	6	54	324	8	28	262	22	24	37	0
5	6	54	328	8	28	262	23	24	36	0
5	6	54	327	8	28	255	22	24	37	0
5	6	54	324	8	28	266	23	24	36	0
5	6	54	324	8	28	254	22	24	37	0
5	6	57	324	8	28	239	23	24	37	0
5	6	54	328	8	28	261	22	24	37	0
5	6	54	324	8	31	254	22	24	36	0
5	6	54	324	8	28	252	22	24	37	0
5	6	54	324	8	28	254	23	24	36	0
5	6	54	327	8	28	256	22	24	37	0
5	6	54	328	8	28	256	22	24	36	0
5	6	54	324	8	28	300	24	26	54	0
5	7	67	324	8	28	279	24	26	38	0
5	7	57	355	8	28	264	22	24	37	0
5	10	54	324	8	28	256	23	24	36	0
5	6	54	328	8	28	260	22	24	37	0
5	6	54	327	8	28	259	22	24	36	0
5	6	54	324	8	28	262	22	24	37	0
5	6	54	324	8	28	252	22	24	36	0
5	6	58	324	20	28	255	22	24	37	0
5	6	54	328	8	28	257	23	24	36	0
5	6	54	324	8	28	257	22	24	37	0
5	6	54	324	8	28	265	23	24	36	0
5	6	54	323	8	28	257	22	24	37	0
5	6	54	327	36	28	246	22	24	36	0
5	6	54	329	11	28	256	22	24	37	0
5	6	54	324	8	28	258	23	24	37	0
5	6	54	324	8	28	259	22	24	37	0
5	6	54	324	8	28	256	23	24	36	0
5	6	54	327	11	28	261	22	24	37	0
5	6	54	327	8	28	261	22	24	36	0
5	6	54	324	38	28	261	22	24	37	0
5	6	54	324	10	28	265	23	24	36	0
5	6	54	324	8	28	257	22	24	37	0
5	6	54	328	8	28	259	23	24	36	0
5	6	54	346	11	29	268	22	24	37	0
5	6	54	324	33	45	268	23	25	37	0
5	7	55	334	11	29	264	23	25	38	0
5	7	55	334	8	29	245	23	25	37	0
5	10	55	334	11	29	264	23	25	38	0
5	7	55	338	35	29	268	23	25	37	0
5	7	55	338	11	29	268	23	25	38	0
5	7	56	334	8	29	270	23	25	37	0
5	7	55	334	11	29	269	27	25	38	0
5	7	55	334	33	29	264	23	25	37	0
5	7	60	334	11	29	264	23	25	38	0
5	7	55	337	8	29	264	23	25	37	0
5	7	55	334	39	29	255	23	25	38	0
5	7	55	334	8	29	275	23	25	37	0
5	7	55	334	13	29	265	23	29	38	0
5	7	55	334	35	29	260	23	25	37	0
5	7	56	358	13	30	286	23	25	38	0
5	7	55	356	9	30	282	23	25	37	0
5	7	56	334	39	29	268	23	25	38	0
5	7	55	350	9	30	276	24	26	38	0
5	7	55	334	13	29	268	23	25	38	0
5	7	55	333	34	29	267	23	25	37	0
5	11	55	334	11	29	271	23	25	38	0
5	7	55	337	36	29	269	23	25	37	0
5	7	55	338	11	29	267	23	25	38	0
5	7	55	334	36	29	266	23	25	38	0
5	7	55	334	11	29	268	23	25	38	0
5	7	55	334	35	29	254	23	25	37	0
5	7	58	334	11	29	266	23	25	38	0
5	7	55	338	36	29	268	23	25	38	0
5	7	55	337	11	29	265	23	25	38	0
5	7	56	334	35	29	271	23	25	38	0
5	7	55	334	11	29	270	23	25	38	0
5	7	55	334	35	29	268	23	25	37	0
5	7	60	334	11	29	264	23	25	38	0
5	7	55	337	36	29	272	23	25	37	0
5	7	55	337	11	29	268	23	25	38	0
5	7	55	333	35	29	272	24	25	37	0
5	7	55	333	10	29	265	27	25	38	0
5	7	55	334	35	29	255	23	25	37	0
5	7	60	334	11	29	271	23	25	38	0
5	7	55	337	36	29	264	23	25	37	0
5	7	55	337	11	29	270	23	25	38	0
5	7	55	334	35	29	268	23	25	37	0
5	7	55	334	10	29	268	26	25	38	0
5	7	55	333	35	29	269	23	25	37	0
5	7	59	334	10	29	265	23	25	38	0
5	7	55	338	35	29	267	23	25	37	0
5	7	55	334	14	29	270	23	25	38	0
5	7	55	334	35	29	271	23	25	37	0
5	7	55	334	11	29	277	23	25	38	0
5	7	55	334	35	29	272	23	25	37	0
5	7	59	334	11	29	248	23	25	38	0
5	7	55	337	36	29	270	23	25	37	0
5	7	55	337	34	29	264	23	25	38	0
5	7	55	334	35	29	274	23	25	37	0
5	7	55	334	35	29	287	24	26	40	0
5	7	57	348	35	29	262	23	25	37	0
5	7	59	334	35	29	265	23	25	38	0
5	7	55	338	36	29	270	23	25	37	0
5	7	55	338	36	29	267	23	25	38	0
5	7	55	334	41	29	268	23	25	37	0
5	7	55	334	35	29	269	23	25	38	0
5	7	56	334	35	29	269	27	25	37	0
5	7	55	334	35	29	260	23	25	38	0
5	7	55	337	35	29	256	23	25	38	0
5	7	55	337	35	29	257	23	25	38	0
5	7	55	334	39	29	268	23	25	37	0
5	7	55	334	35	29	274	23	25	38	0
5	7	55	333	35	29	267	28	25	37	0
5	7	55	334	36	29	262	23	25	38	0
5	7	59	333	36	29	271	23	25	37	0
5	7	55	337	36	29	264	23	25	38	0
5	7	55	338	36	29	270	23	25	37	0
5	7	55	333	35	29	270	23	25	38	0
5	7	55	334	35	29	277	24	25	37	0
5	7	55	334	36	29	271	23	25	42	0
5	7	55	334	35	29	268	23	25	37	0
5	7	55	338	35	29	268	23	25	38	0
5	7	55	337	35	29	268	23	25	37	0
5	7	55	337	36	29	260	23	25	38	0
5	7	55	334	35	29	272	24	25	37	0
5	7	55	333	35	29	268	23	25	38	0
5	7	55	333	35	29	270	23	25	37	0
5	7	59	334	35	29	269	23	25	38	0
5	7	55	338	36	29	269	23	25	37	0
5	7	55	337	35	29	266	23	25	38	0
5	7	55	334	35	29	267	24	25	37	0
5	7	55	334	35	29	261	23	25	38	0
5	7	55	334	35	29	258	23	25	37	0
5	7	55	334	36	29	266	23	25	38	0
5	7	55	338	36	29	259	23	25	37	0
5	7	55	337	35	29	265	23	25	38	0
5	7	55	333	35	33	264	23	25	37	0
5	7	55	334	35	29	262	23	25	38	0
5	7	55	334	35	29	268	23	25	41	0
5	7	55	334	35	29	266	23	25	38	0
5	7	55	337	35	29	261	23	25	37	0
5	7	55	337	35	29	266	23	25	38	0
5	7	55	334	35	33	252	23	25	38	0
5	7	55	334	35	29	268	23	25	38	0
5	7	55	334	35	29	266	27	25	37	0
5	7	55	334	35	29	267	23	25	38	0
5	7	59	334	35	29	269	23	25	37	0
5	7	55	337	35	29	265	23	25	38	0
5	7	55	338	36	29	258	24	25	37	0
5	7	55	333	35	29	262	23	25	38	0
5	7	55	334	35	29	274	23	25	37	0
5	7	55	334	35	29	265	23	25	38	0
5	7	59	334	35	29	263	23	25	37	0
5	7	55	339	36	29	262	23	25	38	0
5	7	55	337	36	29	263	23	25	37	0
5	7	55	334	35	29	270	23	25	38	0
5	7	55	334	35	29	274	23	25	37	0
5	7	55	333	35	29	268	23	25	44	0
5	7	55	334	35	29	267	23	25	37	0
5	7	55	338	35	29	268	23	25	38	0
5	7	56	338	36	29	258	23	25	37	0
5	7	56	333	35	33	267	23	25	38	0
5	7	55	334	35	29	264	23	25	38	0
5	7	56	334	35	29	270	23	25	38	0
5	7	55	334	35	29	269	24	25	38	0
5	7	59	353	36	42	285	23	25	38	0
5	6	55	376	36	29	267	24	25	37	0
5	7	55	355	37	30	283	22	24	37	0
5	6	54	357	37	30	268	22	24	36	0
5	6	54	324	35	28	284	24	26	51	0
5	6	54	324	35	28	280	24	26	38	0
5	7	57	339	34	28	253	22	24	49	0
5	10	57	349	35	28	257	23	24	36	0
5	6	54	369	35	28	256	23	24	37	0
5	6	54	350	37	30	262	23	24	36	0
5	6	54	336	43	30	274	22	24	37	0
5	6	54	324	34	28	284	24	26	51	0
5	6	54	324	35	28	278	36	27	40	0
5	7	59	357	34	28	259	23	24	55	0
5	7	59	351	35	28	249	22	24	37	0
5	6	54	370	35	28	250	23	24	36	0
5	6	54	349	38	30	274	22	24	37	0
5	6	54	324	35	31	251	22	24	36	0
5	6	54	324	35	28	260	22	24	37	0
5	6	54	324	35	28	258	23	28	36	0
5	6	54	324	35	28	247	22	24	37	0
5	6	54	327	35	28	263	22	24	36	0
5	6	54	327	35	28	253	22	24	37	0
5	6	54	324	35	28	263	22	24	36	0
5	6	54	324	34	28	257	22	24	37	0
5	6	54	324	34	28	261	22	24	36	0
5	6	54	328	35	28	257	22	24	37	0
5	6	54	328	35	28	260	23	24	36	0
5	6	54	324	38	28	262	22	24	37	0
5	6	54	324	34	28	268	23	24	37	0
5	6	54	324	34	28	260	22	28	37	0
5	6	54	324	34	28	247	22	24	37	0
5	6	54	327	35	28	258	22	24	37	0
5	6	54	328	35	28	260	23	24	36	0
5	6	54	324	34	28	245	22	24	37	0
5	6	54	324	34	28	250	26	24	36	0
5	6	54	324	34	28	258	22	24	36	0
5	6	54	329	35	28	256	22	24	36	0
5	6	54	328	35	28	251	22	24	37	0
5	6	54	324	38	28	253	23	24	36	0
5	6	54	324	34	28	260	22	24	37	0
