Datatype: kernel_timings_CPU_n100
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
6738	6700	10286	14936	3907	4005	13514	47740	35489	39520	0
6095	11170	17747	21066	6369	8497	15531	46611	34662	40372	0
5466	6651	10181	14737	3941	3906	13111	48469	35286	40596	0
6451	6946	10378	14387	3559	3693	11881	43439	32892	39351	0
4971	6040	9289	13785	3435	3820	12000	45034	35540	38399	0
5216	6173	9578	13951	3523	3686	12332	45700	32195	38159	0
5108	6297	9620	14551	4076	4301	12258	43619	32248	37712	0
5772	7663	10307	14279	3574	3760	11983	43961	32301	39349	0
5233	6225	9388	13694	3457	3646	11719	43860	34511	36950	0
5034	5991	9268	14547	3532	3662	11751	45577	33428	37126	0
5058	5941	9218	13755	3472	3616	12702	45777	32816	37906	0
5339	6210	9887	15772	3834	3603	12169	44109	32161	39652	0
5033	5923	9245	14445	3880	3654	11826	44084	33377	39625	0
5256	6105	9471	14168	3574	3712	11775	46775	32619	37105	0
5133	5975	9259	13594	3408	3668	11958	47364	32171	36983	0
4998	6002	9612	15229	3650	4015	12381	44756	33561	40790	0
5463	6760	9813	14613	3654	3819	12034	44980	34317	38378	0
5064	6018	9441	13947	3418	3637	11636	43712	32829	36925	0
5146	5958	9638	13941	3465	3755	11817	43823	32590	37174	0
5021	5953	9344	14128	3465	3614	11812	44045	32522	38856	0
5369	6312	9590	14464	3661	3828	12601	46659	35302	63063	0
5597	6534	10025	14550	3812	3931	12845	47620	35018	40246	0
5570	6596	10066	14649	3819	4175	12763	48035	35304	41167	0
5691	6950	10226	14606	3895	4171	13446	47654	35704	41422	0
5587	6545	10162	14652	3938	3992	12888	48220	39234	38137	0
5443	6281	10239	13834	3441	3753	15255	44038	34219	40221	0
5327	6427	9880	14800	3966	3979	12307	46540	34863	39596	0
5682	6360	9510	13762	3480	3676	11885	44221	32266	38090	0
5398	6563	10317	13885	3483	3590	11645	43428	32850	37055	0
5354	6084	9446	13624	3451	3639	12235	43898	32284	38589	0
5656	6774	10067	14367	3784	3840	12347	47294	34368	39372	0
5461	6498	10071	15009	3844	3859	12458	45769	32145	38152	0
5025	5965	9256	13587	3527	3656	11577	43752	34397	39642	0
5491	6478	9890	14344	3706	3870	12421	46171	33262	38420	0
5114	6179	9573	14311	3504	3618	11672	43499	32197	37116	0
5215	5937	9449	13582	3398	3706	11759	43354	32258	37152	0
5016	5943	9309	13807	3512	3690	11823	43376	32147	37841	0
5066	6078	9273	13602	3517	3585	11589	43594	32614	36986	0
5170	6063	9383	14027	3595	3631	11891	44864	33177	39465	0
5344	6403	9902	14566	4145	3810	12722	44037	32577	39673	0
5145	6043	9269	13299	3508	3911	13177	54340	48947	40204	0
5484	6478	10272	14946	3824	3878	12819	46841	35124	41178	0
5640	6639	10226	14693	3810	4016	12757	48075	32734	37095	0
5142	6007	9252	13809	3429	3656	11669	43647	32413	39653	0
5435	6424	9905	14275	3649	3823	12383	46230	33217	38055	0
5216	6144	9508	14020	3551	3989	13125	44873	32145	36813	0
5111	5994	9567	14312	3738	3904	12613	46670	34381	39862	0
5097	5898	9207	13739	3448	3644	11680	43250	32111	36704	0
4966	5969	9489	13762	3455	3582	11621	43520	32116	36904	0
5023	5995	9213	13514	3390	3592	11634	43516	31881	36846	0
5068	5892	9267	13694	3448	3706	11612	43097	32040	37080	0
5147	6075	9246	13680	3405	3610	11657	43139	32059	37597	0
5480	6401	9905	14303	3695	3953	12460	46246	34003	38667	0
5152	6230	9447	13939	3491	3681	11761	44456	33117	37812	0
5253	6261	10184	14383	3684	3716	12063	44420	32774	38064	0
5182	6064	9511	13801	3630	3684	11751	44467	33103	38021	0
5144	6227	9529	13687	3510	3661	11653	43337	32051	36961	0
5034	5965	9281	13789	3406	3744	11646	43577	32870	37160	0
5067	6099	9347	14096	3437	3674	11973	44500	33272	38180	0
5223	6212	9624	14121	4084	4345	12192	45349	45693	53065	0
5688	6669	9880	14656	3847	3976	12642	46274	34509	41036	0
5546	6468	10026	14534	3743	3927	12581	47384	36196	37853	0
5206	6076	9386	13984	3421	3623	11810	43386	33155	36797	0
5032	5993	9402	13632	3407	3580	11728	44810	36452	40909	0
5705	6620	10191	14756	3945	3851	13314	47632	36679	41737	0
5553	6542	9831	14133	3721	3888	12160	43888	32231	36949	0
5119	6351	9902	14464	3740	3908	12452	46535	34261	39246	0
5143	6208	9429	13948	3463	3732	11972	44551	33121	38078	0
5176	6295	9509	13864	3568	3700	11931	44452	32898	38042	0
5235	6130	9388	13806	3645	3715	11837	44608	32886	38105	0
5117	6109	9565	13851	3503	3669	11795	44487	33005	37781	0
5262	6057	9619	13746	3654	3909	13107	44538	32025	36740	0
4972	5989	9286	13579	3410	3674	11686	43243	32198	37005	0
5046	5921	9257	13561	3389	3686	11612	43115	32354	37203	0
5039	5962	9281	13578	3463	3640	11701	43173	32007	38676	0
5443	6419	10011	14341	3760	3865	12346	46181	34379	36925	0
5068	5980	9223	13749	3408	3906	12078	43590	32066	37345	0
5062	5897	9321	13940	3551	3618	11661	44792	32258	37661	0
5143	6163	9940	14280	3857	3895	13406	45058	34100	41565	0
5407	6424	14680	18692	5396	5586	22059	46876	34679	41192	0
5355	6461	10125	14675	3946	4044	13239	48809	36260	41783	0
5709	6785	10032	13857	3498	3764	11851	44581	32316	36876	0
5098	5928	9208	13637	3517	3615	12061	46559	34166	39649	0
5393	6386	9904	14281	3675	3871	12299	44911	33059	37976	0
5317	6145	9482	13701	3545	3711	12033	44560	32886	38037	0
5004	5956	9384	13707	3467	3745	11628	43677	32066	36905	0
5063	5990	9303	13630	3441	3600	11701	45314	34629	39890	0
5538	6595	10168	14743	3810	3934	11887	43418	32487	36672	0
5033	6000	9316	13795	3589	3701	11917	44087	32649	36812	0
5047	5962	9268	13518	3421	3646	11632	47806	38927	40477	0
5696	7151	10058	14277	3657	3892	12736	45056	33347	38137	0
5196	6140	9586	13936	3541	3698	11740	44321	33048	37876	0
5114	6493	9649	13548	3495	3634	11617	43219	32058	37139	0
4966	5938	9231	13574	3424	3645	11740	43358	31951	36853	0
4998	6032	9209	13580	3454	3575	11854	43213	32123	36687	0
5101	5994	9213	14030	3433	3597	11754	43350	32115	37209	0
5014	6050	9530	14167	3441	3633	11860	43941	32494	37058	0
5023	5932	9637	13998	3404	3633	11829	44362	32238	36904	0
5186	6217	9559	14373	3947	3743	12720	47178	34852	39685	0
5336	6360	9962	14409	3769	3882	12184	45088	33420	38507	0
5163	6180	9843	13762	3755	3718	12130	44885	35539	41595	0
5630	6577	10293	14733	3883	3982	12517	47057	33353	39391	0
5282	6272	9825	14518	3694	3793	12425	48198	59484	46380	0
5242	6271	9745	14222	3634	3708	12161	45878	34167	40179	0
5414	6500	10051	14817	3856	3958	12917	46884	34159	39555	0
5607	6391	9888	14678	3749	3836	13279	47505	34186	40873	0
5711	6586	10434	14971	4058	3994	13774	49103	34807	39899	0
5415	6333	9807	14331	3753	3858	12694	49054	54271	44179	0
5538	6520	10082	14677	3843	3903	12846	46205	34149	39409	0
5369	6279	9957	14438	3694	3816	12659	46686	34102	39256	0
5383	6353	9813	14509	3744	4004	12340	45552	33869	39105	0
5369	6371	9710	14911	3750	3993	13070	47674	35873	41711	0
5581	6603	10189	15248	3941	3929	13016	46460	34367	39655	0
5192	6133	9728	15009	3925	3938	13011	46772	35164	39860	0
5341	6260	9679	14174	3857	3819	12715	47163	33894	39676	0
5310	6239	9743	14597	3750	3800	12854	46519	35175	41098	0
5451	6638	10220	15319	4064	4094	12680	46481	34852	40242	0
5473	6459	10506	15057	4096	3926	13171	47444	36112	40281	0
5145	6370	10114	14502	3705	3907	12410	46467	34092	41403	0
5516	6428	9897	14803	3757	3974	12812	45895	34317	39718	0
5598	6651	10303	14844	3968	4047	13415	48715	35566	40908	0
5700	6849	10841	15325	3843	4199	13865	45777	33209	38425	0
5258	5992	9428	14123	3561	3717	12078	44710	33490	38398	0
5165	6170	9243	13519	3433	3703	11675	43024	31998	37482	0
5257	6190	9507	14167	4028	3730	12984	44549	33078	37954	0
5055	5966	9237	13734	3390	3605	11943	43519	32481	37087	0
5040	5934	9251	13631	3403	3621	11673	43390	31729	36909	0
5130	6014	9211	13688	3408	3653	11594	43434	32104	36710	0
4997	6061	9163	13684	3557	3741	11984	43692	32034	36898	0
5004	5923	9221	13709	3396	3633	11551	43479	32333	36970	0
5157	5993	9325	13587	3420	3610	11622	43707	32786	37527	0
5325	6015	9439	13754	3536	3705	11834	43729	32565	38188	0
5214	6220	9722	14184	3884	3765	13159	45260	33205	37577	0
5127	6029	9345	13859	3552	3749	11964	43618	32155	36973	0
5030	6042	9328	13625	3555	3606	11730	43854	32353	36768	0
5067	5986	9243	13530	3417	3670	11649	43154	32240	37303	0
5129	6070	9464	13620	3465	3677	11690	43314	32171	37102	0
5033	6022	9300	13729	3391	3640	11602	44257	32223	36989	0
5106	5986	9281	13573	3505	3606	11713	43310	32111	37620	0
5146	5949	9195	13781	3459	3625	11768	43575	33385	37422	0
5158	6091	9344	13802	3541	3672	11966	44369	32285	37048	0
5134	5885	9217	13746	3460	3820	12024	43678	32345	37603	0
5255	6052	9548	13919	3508	3618	11856	44105	32052	36955	0
5133	5985	9313	13537	3447	3584	11700	43415	32085	37523	0
4965	5960	9340	13615	3384	3709	11691	43277	32015	36885	0
5050	5990	9456	13950	3500	3705	11942	43638	32180	37209	0
5065	6037	9223	13635	3403	3604	11730	43399	32042	37347	0
5069	5939	9629	14218	3894	3818	12783	44698	33252	38085	0
5245	6235	9449	13712	3502	3655	11746	43713	32886	37699	0
5032	5992	9291	13692	3527	3651	11761	43655	32139	37182	0
5071	6028	9306	13808	3468	3615	12100	43904	32386	36861	0
5066	6066	9244	13698	3461	3610	11668	43633	32184	36901	0
5135	6055	9445	13901	3543	3673	11630	43589	32041	37123	0
5062	5984	9384	13607	3588	3667	12276	44460	32886	37117	0
5013	5976	9283	13768	3500	3672	11744	43948	33072	38175	0
5248	6260	9842	14429	3830	3696	12780	44608	32453	37415	0
5270	5973	9351	13625	3427	3691	11838	43927	32700	37140	0
5103	6069	9359	13692	3518	3637	11665	44502	32341	37454	0
5258	6014	9579	13939	3609	3697	11903	43619	33226	38383	0
5264	6200	9638	14416	3853	3811	12628	45440	32688	37386	0
5163	6026	9429	13716	3492	3653	11807	43765	32419	37378	0
5166	6186	9438	14022	3458	3652	11818	43684	32250	37099	0
5066	6003	9377	13774	3476	3566	12228	44255	32219	37015	0
5029	6092	9254	13616	3423	3674	11704	43854	32157	37714	0
5033	5981	9360	13672	3556	3682	11726	43654	32345	37142	0
5092	6048	9417	13818	3507	3815	11762	43558	32206	36877	0
5135	5959	9274	13555	3533	3635	12306	43942	32179	37123	0
5095	6115	9276	13678	3427	3604	11537	43416	32109	36917	0
4965	5999	9424	14230	3935	3835	13288	44762	33288	38561	0
5033	5969	9306	13738	3522	3613	11574	43418	32128	36885	0
5082	5926	9288	13669	3491	3655	11712	43372	32260	36935	0
5312	5955	9285	13516	3460	3605	11728	45117	33594	36995	0
5044	5824	9311	13942	3399	3543	11952	42996	31587	36279	0
4934	5823	9151	13323	3357	3539	11449	42555	31655	36111	0
4934	5835	9063	13445	3419	3540	11511	42493	31651	36241	0
4939	5828	9115	13426	3374	3532	12347	45221	35487	36563	0
5224	6558	9365	13384	3371	3536	13412	42720	31611	36362	0
4932	5832	9232	13468	3363	3633	11551	42530	31489	36136	0
4936	5834	9117	13443	3377	3534	11465	43441	32069	37062	0
5031	5953	9472	13676	3441	3693	11782	43948	32308	37157	0
5033	6087	9604	14317	3619	3885	12070	45074	33325	38368	0
5332	6162	9535	13675	3468	3634	12048	43722	32425	37423	0
5065	5991	9281	13751	3430	3674	11802	44656	32331	37338	0
5033	6133	9389	13772	3420	3614	11732	43687	32504	36923	0
5099	6055	9249	14010	3809	3838	12450	43687	32523	37110	0
5018	5958	9249	13675	3487	3672	11611	43915	32078	36949	0
5131	5916	9537	13666	3464	3648	11802	44098	32582	37236	0
5063	6024	9281	13785	3512	3647	11789	43611	32392	37192	0
5043	5999	9355	13765	3468	3600	11717	43733	32206	37045	0
5036	6035	9401	13525	3394	3601	11702	43190	31915	37048	0
5605	6671	10445	14589	4031	4690	13145	47860	36866	42125	0
6349	6557	10135	17253	6007	5993	14435	48285	33213	37179	0
5152	5999	9325	13386	3412	3533	11571	42446	31532	37214	0
4927	5832	9331	14155	3433	3566	12319	60557	50929	40037	0
5372	6424	9836	14266	3786	3950	12691	46177	35008	40681	0
5467	6526	10030	14445	3798	3956	13384	47832	32090	36824	0
4963	6065	9595	15321	3932	4108	12154	44695	33321	38859	0
5971	6736	9526	13797	3593	3793	11830	44559	33436	39673	0
5096	6014	9377	13657	3489	3644	11607	44431	34347	37521	0
5083	6113	9294	13556	3453	3646	11691	45732	33051	37992	0
5180	6209	9705	13846	3678	4238	13877	46268	36234	39285	0
5534	7272	10034	13686	3533	3677	12530	43781	32176	39051	0
5083	6023	9374	13600	3550	3620	11761	43710	34149	38552	0
5143	6179	9468	13763	3485	3753	11942	45737	32247	38299	0
5394	6441	9989	14415	3733	3877	12699	47978	35313	40573	0
5580	6535	11010	15229	3879	3899	12847	46165	33296	39567	0
5048	6031	9178	13576	3452	3595	11646	43359	33539	40362	0
5087	5965	9276	13609	3428	3608	11588	44656	32468	36766	0
5034	5915	9548	13608	3441	3644	11656	44632	32116	36858	0
5019	6086	9247	13869	3936	4011	12745	43302	31981	37527	0
