Datatype: kernel_timings_CPU_n21
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
57	109	480	2325	135	246	1884	236	240	358	0
50	96	423	2091	101	217	1700	203	219	340	0
49	95	387	2033	100	220	1630	204	225	336	0
49	94	391	2049	103	233	1712	219	219	336	0
49	99	387	2033	101	216	1635	204	219	341	0
49	94	387	2032	101	220	1634	207	219	336	0
49	94	392	2033	101	216	1644	204	219	336	0
49	98	387	2033	101	216	1640	203	219	341	0
49	94	387	2032	101	220	1630	204	224	336	0
49	94	390	2033	101	216	1637	203	219	336	0
49	95	387	2054	108	235	1621	208	219	336	0
49	95	391	2032	100	216	1665	203	219	341	0
49	94	387	2034	100	216	1626	204	225	336	0
49	94	387	2032	104	216	1617	207	219	336	0
49	95	392	2074	101	216	1646	205	220	341	0
49	95	387	2034	101	216	1627	203	224	336	0
49	94	387	2033	104	216	1624	209	219	336	0
49	93	391	2032	101	217	1628	203	219	340	0
49	94	387	2032	101	217	1623	204	219	340	0
49	94	387	2032	107	216	1629	208	219	336	0
49	95	389	2033	101	220	1635	205	225	337	0
49	94	389	2035	101	217	1624	208	219	336	0
49	95	393	2100	100	216	1634	205	219	358	0
51	97	412	2065	100	219	1630	203	225	336	0
49	94	391	2032	101	216	1622	204	219	336	0
49	100	388	2033	101	216	1622	203	219	340	0
49	95	386	2031	101	220	1633	205	225	336	0
49	94	392	2030	100	217	1634	204	219	335	0
49	94	391	2034	101	217	1636	204	219	341	0
49	94	387	2032	101	219	1627	203	225	336	0
49	100	387	2034	101	217	1635	204	219	341	0
49	94	387	2031	101	219	1622	203	224	336	0
49	95	391	2032	101	216	1645	221	219	336	0
49	99	387	2033	100	216	1635	203	219	342	0
49	94	387	2031	101	220	1621	204	225	336	0
49	94	391	2034	101	216	1619	203	219	335	0
49	99	387	2035	101	217	1631	204	219	342	0
49	94	387	2032	101	220	1614	203	225	336	0
49	94	391	2032	101	216	1635	219	238	336	0
49	112	407	2033	101	216	1632	203	219	340	0
49	95	392	2033	101	217	1694	218	235	375	0
51	97	399	2033	101	219	1667	203	241	352	0
49	95	392	2032	101	217	1624	204	219	336	0
49	94	391	2034	101	216	1636	203	219	340	0
49	94	387	2066	101	219	1620	204	226	336	0
49	94	392	2033	101	216	1631	203	219	336	0
49	95	391	2032	100	216	1636	204	219	341	0
49	94	387	2031	100	219	1626	203	225	336	0
49	94	391	2032	101	217	1618	208	219	336	0
49	95	391	2032	101	216	1634	203	219	340	0
49	95	392	2031	101	216	1627	204	219	336	0
49	99	387	2073	101	216	1625	203	219	340	0
49	94	387	2032	101	220	1628	204	226	336	0
49	95	392	2031	101	216	1619	203	219	336	0
